,回答者33,回答者34,回答者35,回答者36,回答者37,回答者38,回答者39,回答者40,回答者41,回答者42,回答者43,回答者44,回答者45,回答者46,回答者47,回答者48,回答者49,回答者50,回答者51,回答者52
本学との違い,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。,授業中の学生の発言量が多く、教員も『分からないことはその場でどんどん聞いてほしい』というスタンスだった。
課外活動の参加頻度,週に2回以上,週に2回以上,月に1回～数回程度,一学期に1回～数回程度,一学期に1回～数回程度,週に2回以上,週に1回程度,参加しなかった,週に2回以上,週に1回程度,週に1回程度,週に1回程度,参加しなかった,週に2回以上,週に1回程度,週に2回以上,月に1回～数回程度,週に1回程度,週に2回以上,月に1回～数回程度
活動内容,ハッカソンや勉強会に参加し、他大学の学生とも交流した。,ハッカソンや勉強会に参加し、他大学の学生とも交流した。,バドミントンサークルと日本文化紹介イベントに参加した。,ハッカソンや勉強会に参加し、他大学の学生とも交流した。,バドミントンサークルと日本文化紹介イベントに参加した。,週末に友人と近郊の観光地を巡りながら、写真撮影を楽しんだ。,ボランティア団体でチューターとして留学生サポートを行った。,バドミントンサークルと日本文化紹介イベントに参加した。,週末に友人と近郊の観光地を巡りながら、写真撮影を楽しんだ。,バドミントンサークルと日本文化紹介イベントに参加した。,ハッカソンや勉強会に参加し、他大学の学生とも交流した。,バドミントンサークルと日本文化紹介イベントに参加した。,バドミントンサークルと日本文化紹介イベントに参加した。,週末に友人と近郊の観光地を巡りながら、写真撮影を楽しんだ。,バドミントンサークルと日本文化紹介イベントに参加した。,週末に友人と近郊の観光地を巡りながら、写真撮影を楽しんだ。,バドミントンサークルと日本文化紹介イベントに参加した。,週末に友人と近郊の観光地を巡りながら、写真撮影を楽しんだ。,バドミントンサークルと日本文化紹介イベントに参加した。,バドミントンサークルと日本文化紹介イベントに参加した。
キャンパス施設の良し悪し,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。,図書館の開館時間が長く、自習スペースが充実していた点が特に良かった。
キャンパスの安全性,とても安全,あまり安全とは言えない,注意すれば問題ない,とても安全,概ね安全,あまり安全とは言えない,とても安全,あまり安全とは言えない,注意すれば問題ない,とても安全,注意すれば問題ない,あまり安全とは言えない,とても安全,概ね安全,注意すれば問題ない,注意すれば問題ない,注意すれば問題ない,概ね安全,とても安全,とても安全
安全のために気を付けたこと,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。,夜は複数人で行動し、貴重品は前ポケットかボディバッグで管理した。
治安状況（具体例）,地下鉄駅周辺にホームレスがいることがあったが、特に危険な場面はなかった。,地下鉄駅周辺にホームレスがいることがあったが、特に危険な場面はなかった。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,繁華街ではスリが多いと聞いたため、リュックは前に抱えて歩くようにした。,地下鉄駅周辺にホームレスがいることがあったが、特に危険な場面はなかった。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,繁華街ではスリが多いと聞いたため、リュックは前に抱えて歩くようにした。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,繁華街ではスリが多いと聞いたため、リュックは前に抱えて歩くようにした。,繁華街ではスリが多いと聞いたため、リュックは前に抱えて歩くようにした。,繁華街ではスリが多いと聞いたため、リュックは前に抱えて歩くようにした。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,繁華街ではスリが多いと聞いたため、リュックは前に抱えて歩くようにした。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,地下鉄駅周辺にホームレスがいることがあったが、特に危険な場面はなかった。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。,地下鉄駅周辺にホームレスがいることがあったが、特に危険な場面はなかった。,昼間は非常に落ち着いており、大学周辺は学生が多く安心して歩けた。
通学・交通事情,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,ICカード一枚でバスと地下鉄を利用でき便利だった。夜間は人通りの多い駅を選んで利用した。,キャンパス内は徒歩圏内だが、雨の日はシェアスクーターを活用した。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,自転車通学が一般的で、専用レーンが整備されており走りやすかった。,ICカード一枚でバスと地下鉄を利用でき便利だった。夜間は人通りの多い駅を選んで利用した。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,ICカード一枚でバスと地下鉄を利用でき便利だった。夜間は人通りの多い駅を選んで利用した。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,ICカード一枚でバスと地下鉄を利用でき便利だった。夜間は人通りの多い駅を選んで利用した。,ICカード一枚でバスと地下鉄を利用でき便利だった。夜間は人通りの多い駅を選んで利用した。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。,キャンパス内は徒歩圏内だが、雨の日はシェアスクーターを活用した。,ICカード一枚でバスと地下鉄を利用でき便利だった。夜間は人通りの多い駅を選んで利用した。,通学時間は片道約40分で、乗り換えも分かりやすくストレスは少なかった。
留学前の旅行保険加入の有無,はい,はい,いいえ,はい,はい,はい,はい,はい,はい,はい,はい,いいえ,はい,はい,はい,はい,はい,はい,はい,はい
現地機関の保険加入義務,はい,はい,いいえ,いいえ,はい,はい,はい,いいえ,いいえ,はい,いいえ,はい,いいえ,はい,はい,はい,いいえ,はい,はい,いいえ
住居形態,寮,ホームステイ,ホームステイ,ホームステイ,ホームステイ,民間アパート,ホームステイ,ホームステイ,寮,ホームステイ,ホームステイ,寮,ホームステイ,寮,寮,民間アパート,ホームステイ,ホームステイ,民間アパート,民間アパート
住居の探し方,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,エージェントを利用してホームステイ先を紹介してもらい、到着前に条件をすり合わせた。,エージェントを利用してホームステイ先を紹介してもらい、到着前に条件をすり合わせた。,現地学生向けの掲示板サイトを使い、オンライン内見を経てアパートを契約した。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,現地学生向けの掲示板サイトを使い、オンライン内見を経てアパートを契約した。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,エージェントを利用してホームステイ先を紹介してもらい、到着前に条件をすり合わせた。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,現地学生向けの掲示板サイトを使い、オンライン内見を経てアパートを契約した。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,大学のハウジングオフィス経由で寮を申し込み、比較的スムーズに決まった。,エージェントを利用してホームステイ先を紹介してもらい、到着前に条件をすり合わせた。,現地学生向けの掲示板サイトを使い、オンライン内見を経てアパートを契約した。,エージェントを利用してホームステイ先を紹介してもらい、到着前に条件をすり合わせた。
生活費（月額）-宿舎費,117000,127000,56000,131000,79000,90000,203000,144000,86000,71000,78000,138000,90000,127000,159000,94000,77000,104000,118000,194000
生活費（月額）-食費,104000,94000,69000,0,0,30000,87000,49000,81000,40000,44000,120000,18000,48000,27000,11000,0,9000,47000,32000
生活費（月額）-交通費,1000,0,62000,7000,31000,41000,42000,21000,2000,0,41000,0,66000,0,25000,12000,0,26000,0,0
生活費（月額）-通信費,6000,3000,2000,2000,4000,3000,4000,4000,3000,2000,2000,2000,5000,2000,5000,2000,4000,2000,4000,6000
生活費（月額）-その他,8000,21000,3000,0,29000,29000,32000,0,13000,5000,67000,44000,0,36000,0,0,41000,59000,38000,7000
生活費（月額）-合計,236000,245000,192000,140000,143000,193000,368000,218000,185000,118000,232000,304000,179000,213000,216000,119000,122000,200000,207000,239000
奨学金の有無,受給していた,受給していた,受給していない,受給していた,受給していた,受給していない,受給していた,受給していない,受給していない,受給していない,受給していない,受給していない,受給していない,受給していない,受給していた,受給していた,受給していない,受給していた,受給していた,受給していない
奨学金の種類,学内奨学金,現地奨学金,,民間財団奨学金,現地奨学金,,学内奨学金,,,,,,,,民間財団奨学金,学内奨学金,,民間財団奨学金,現地奨学金,
奨学金-受給額（月額円）,100000,100000,0,80000,110000,0,100000,0,0,0,0,0,0,0,80000,80000,0,50000,100000,0
通信手段,ローミング,Wi-Fiルーター,現地SIM（プリペイド）,現地SIM（プリペイド）,現地SIM（プリペイド）,現地SIM（プリペイド）,現地SIM（プリペイド）,ローミング,Wi-Fiルーター,Wi-Fiルーター,Wi-Fiルーター,Wi-Fiルーター,eSIM,Wi-Fiルーター,Wi-Fiルーター,現地SIM（プリペイド）,ローミング,現地SIM（プリペイド）,ローミング,現地SIM（プリペイド）
留学の成果・課題（要約）,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,異なるバックグラウンドを持つ学生と議論する中で、自分の専門を相対化して捉え直す視点が得られた。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,異なるバックグラウンドを持つ学生と議論する中で、自分の専門を相対化して捉え直す視点が得られた。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,異なるバックグラウンドを持つ学生と議論する中で、自分の専門を相対化して捉え直す視点が得られた。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,英語で専門的な内容を説明することに抵抗がなくなり、将来の進路の選択肢が広がった。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。,時間管理やタスクの優先順位付けを徹底する習慣が身についた一方、長期休暇中の過ごし方にはまだ改善の余地を感じた。
後輩へのアドバイス,トラブルが起きた時に一人で抱え込まず、早めに現地の担当者やチューターに相談することをおすすめします。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,『何を学びたいか』『日本に帰ってからどう活かすか』を自分なりの言葉で説明できるようにしておくと、現地で迷いが少なくなります。,トラブルが起きた時に一人で抱え込まず、早めに現地の担当者やチューターに相談することをおすすめします。,トラブルが起きた時に一人で抱え込まず、早めに現地の担当者やチューターに相談することをおすすめします。,『何を学びたいか』『日本に帰ってからどう活かすか』を自分なりの言葉で説明できるようにしておくと、現地で迷いが少なくなります。,『何を学びたいか』『日本に帰ってからどう活かすか』を自分なりの言葉で説明できるようにしておくと、現地で迷いが少なくなります。,『何を学びたいか』『日本に帰ってからどう活かすか』を自分なりの言葉で説明できるようにしておくと、現地で迷いが少なくなります。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,完璧な英語を話そうとせず、まずは伝えようとする姿勢を大事にしてほしいです。,トラブルが起きた時に一人で抱え込まず、早めに現地の担当者やチューターに相談することをおすすめします。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,完璧な英語を話そうとせず、まずは伝えようとする姿勢を大事にしてほしいです。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,語学力だけでなく、健康面やお金の管理など生活力も事前に意識して準備しておくと安心です。,完璧な英語を話そうとせず、まずは伝えようとする姿勢を大事にしてほしいです。,完璧な英語を話そうとせず、まずは伝えようとする姿勢を大事にしてほしいです。
